ciiu_code,ciiu_name,ciiu_level,sector,ciiu_name_en
E3700,Evacuación De Aguas Residuales.,class,,Sewerage
E3811,Recolección De Desechos No Peligrosos.,class,,Collection of non-hazardous waste
E3812,Recolección De Desechos Peligrosos.,class,,Collection of hazardous waste
E3821,Tratamiento Y Eliminación De Desechos No Peligrosos.,class,,Treatment and disposal of non-hazardous waste
E3822,Tratamiento Y Eliminación De Desechos Peligrosos.,class,,Treatment and disposal of hazardous waste
E3830,Recuperación De Materiales.,class,,Materials recovery
E3900,Actividades De Descontaminación Y Otros Servicios De  Gestión De Desechos.,class,,Remediation activities and other waste management services
F4100,Construcción De Edificios.,class,,Construction of buildings
F4210,Construcción De Carreteras Y Líneas De Ferrocarril.,class,,Construction of roads and railways
F4220,Construcción De Proyectos De Servicios Públicos.,class,,Construction of utility projects
F4290,Construcción De Otras Obras De Ingeniería Civil.,class,,Construction of other civil engineering projects
F4311,Demolición.,class,,Demolition
F4312,Preparación Del Terreno.,class,,Site preparation
F4321,Instalaciones Eléctricas.,class,,Electrical installation
F4322,"Fontanería (Plomería, Gasfitería) E Instalación De Calefacción Y Aire Acondicionado.",class,,"Plumbing, heat and air-conditioning installation"
F4329,Otras Instalaciones Para Obras De Construcción.,class,,Other construction installation
F4330,Terminación Y Acabado De Edificios.,class,,Building completion and finishing
F4390,Otras Actividades Especializadas De Construcción.,class,,Other specialized construction activities
G4510,Venta De Vehículos Automotores.,class,,Sale of motor vehicles
G4520,Mantenimiento Y Reparación De Vehículos Automotores.,class,,Maintenance and repair of motor vehicles
G4530,"Venta De Partes, Piezas Y Accesorios Para Vehículos Automotores.",class,,Sale of motor vehicle parts and accessories
G4540,"Venta, Mantenimiento Y Reparación De Motocicletas Y De Sus Partes, Piezas Y Accesorios.",class,,"Sale, maintenance and repair of motorcycles and related parts and accessories"
G4610,Venta Al Por Mayor A Cambio De Una Comisión O Por Contrato.,class,,Wholesale on a fee or contract basis
G4620,Venta Al Por Mayor De Materias Primas Agropecuarias Y Animales Vivos.,class,,Wholesale of agricultural raw materials and live animals
G4630,"Venta Al Por Mayor De Alimentos, Bebidas Y Tabaco.",class,,"Wholesale of food, beverages and tobacco"
G4641,"Venta Al Por Mayor De Textiles, Prendas De Vestir Y Calzado.",class,,"Wholesale of textiles, clothing and footwear"
G4649,Venta Al Por Mayor De Otros Enseres Domésticos.,class,,Wholesale of other household goods
G4651,"Venta Al Por Mayor De Computadoras, Equipo Y Programas Informáticos.",class,,"Wholesale of computers, computer peripheral equipment and software"
G4652,"Venta Al Por Mayor De Equipo, Partes Y Piezas Electrónicos Y De Telecomunicaciones.",class,,Wholesale of electronic and telecommunications equipment and parts
G4653,"Venta Al Por Mayor De Maquinaria, Equipo Y Materiales Agropecuarios.",class,,"Wholesale of agricultural machinery, equipment and supplies"
G4659,Venta Al Por Mayor De Otros Tipos De Maquinaria Y Equipo.,class,,Wholesale of other machinery and equipment
G4661,"Venta Al Por Mayor De Combustibles Sólidos, Líquidos Y Gaseosos Y Productos Conexos.",class,,"Wholesale of solid, liquid and gaseous fuels and related products"
G4662,Venta Al Por Mayor De Metales Y Minerales Metalíferos.,class,,Wholesale of metals and metal ores
G4663,"Venta Al Por Mayor De Materiales Para La Construcción, Artículos De Ferretería, Equipo, Materiales De Fontanería (Plomería O Gasfitería) Y Calefacción.",class,,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
G4669,"Venta Al Por Mayor De Desperdicios, Desechos, Chatarra Y Otros Productos N.C.P.",class,,Wholesale of waste and scrap and other products n.e.c.
G4690,Venta Al Por Mayor De Otros Productos No Especializado.,class,,Non-specialized wholesale trade
G4711,"Venta Al Por Menor En Comercios No Especializados Con Predominio De La Venta De Alimentos, Bebidas O Tabaco.",class,,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
G4719,Otras Actividades De Venta Al Por Menor En Comercios No Especializados.,class,,Other retail sale in non-specialized stores
G4721,Venta Al Por Menor De Alimentos En Comercios Especializados.,class,,Retail sale of food in specialized stores
G4722,Venta Al Por Menor De Bebidas En Comercios Especializados.,class,,Retail sale of beverages in specialized stores
G4723,Venta Al Por Menor De Tabaco En Comercios Especializados.,class,,Retail sale of tobacco products in specialized stores
G4730,Venta Al Por Menor De Combustibles Para Vehículos Automotores En Comercios Especializados.,class,,Retail sale of automotive fuel in specialized stores
G4741,"Venta Al Por Menor De Computadores, Equipo Periférico, Programas Informáticos Y Equipo De Telecomunicaciones En Comercios Especializados.",class,,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores"
G4742,Venta Al Por Menor De Equipo De Sonido Y Vídeo En Comercios Especializados.,class,,Retail sale of audio and video equipment in specialized stores
G4751,Venta Al Por Menor De Productos Textiles En Comercios Especializados.,class,,Retail sale of textiles in specialized stores
G4752,"Venta Al Por Menor De Artículos De Ferretería, Pinturas Y Productos De Vidrio En Comercios Especializados.",class,,"Retail sale of hardware, paints and glass in specialized stores"
G4753,"Venta Al Por Menor De Tapices, Alfombras Y Cubrimientos Para Paredes Y Pisos En Comercios Especializados.",class,,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores"
G4759,"Venta Al Por Menor De Aparatos Eléctricos De Uso Doméstico, Muebles, Equipo De Iluminación Y Otros Enseres Domésticos En Comercios Especializados.",class,,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
G4761,"Venta Al Por Menor De Libros, Periódicos Y Artículos De Papelería En Comercios Especializados.",class,,"Retail sale of books, newspapers and stationary in specialized stores"
G4762,Venta Al Por Menor De Grabaciones De Música Y De Vídeo En Comercios Especializados.,class,,Retail sale of music and video recordings in specialized stores
G4763,Venta Al Por Menor De Equipo De Deporte En Comercios Especializados.,class,,Retail sale of sporting equipment in specialized stores
G4764,Venta Al Por Menor De Juegos Y Juguetes En Comercios Especializados.,class,,Retail sale of games and toys in specialized stores
G4771,"Venta Al Por Menor De Prendas De Vestir, Calzado Y Artículos De Cuero En Comercios Especializados.",class,,"Retail sale of clothing, footwear and leather articles in specialized stores"
G4772,"Venta Al Por Menor De Productos Farmacéuticos Y Medicinales, Cosméticos Y Artículos De Tocador En Comercios Especializados.",class,,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
G4773,Venta Al Por Menor De Otros Productos Nuevos En Comercios Especializados.,class,,Other retail sale of new goods in specialized stores
G4774,Venta Al Por Menor De Artículos De Segunda Mano En Comercios Especializados.,class,,Retail sale of second-hand goods
G4781,"Venta Al Por Menor De Alimentos, Bebidas Y Tabaco En Puestos De Venta Y Mercados.",class,,"Retail sale via stalls and markets of food, beverages and tobacco products"
G4782,"Venta Al Por Menor De Productos Textiles, Prendas De Vestir Y Calzado En Puestos De Venta Y Mercados.",class,,"Retail sale via stalls and markets of textiles, clothing and footwear"
G4789,Venta Al Por Menor De Otros Productos En Puestos De Venta Y Mercados.,class,,Retail sale via stalls and markets of other goods
G4791,Venta Al Por Menor Por Correo Y Por Internet.,class,,Retail sale via mail order houses or via Internet
G4799,"Otras Actividades De Venta Al Por Menor No Realizadas En Comercios, Puestos De Venta O Mercados.",class,,"Other retail sale not in stores, stalls or markets"
H4911,Transporte Interurbano De Pasajeros Por Ferrocarril.,class,,"Passenger rail transport, interurban"
H4912,Transporte De Carga Por Ferrocarril.,class,,Freight rail transport
H4921,Transporte Urbano Y Suburbano De Pasajeros Por Vía Terrestre.,class,,Urban and suburban passenger land transport
H4922,Otras Actividades De Transporte De Pasajeros Por Vía Terrestre.,class,,Other passenger land transport
H4923,Transporte De Carga Por Carretera.,class,,Freight transport by road
H4930,Transporte Por Tuberías.,class,,Transport via pipeline
H5011,Transporte De Pasajeros Marítimo Y De Cabotaje.,class,,Sea and coastal passenger water transport
H5012,Transporte De Carga Marítimo Y De Cabotaje.,class,,Sea and coastal freight water transport
H5021,Transporte De Pasajeros Por Vías De Navegación Interiores.,class,,Inland passenger water transport
H5022,"Transporte De Carga, Por Vías De Navegación Interiores.",class,,Inland freight water transport
H5110,Transporte De Pasajeros Por Vía Aérea.,class,,Passenger air transport
H5120,Transporte De Carga Por Vía Aérea.,class,,Freight air transport
H5210,Almacenamiento Y Depósito.,class,,Warehousing and storage
H5221,Actividades De Servicios Vinculadas Al Transporte Terrestre.,class,,Service activities incidental to land transportation
H5222,Actividades De Servicios Vinculadas Al Transporte Acuático.,class,,Service activities incidental to water transportation
H5223,Actividades De Servicios Vinculadas Al Transporte Aéreo.,class,,Service activities incidental to air transportation
H5224,Manipulación De Carga.,class,,Cargo handling
H5229,Otras Actividades De Apoyo Al Transporte.,class,,Other transportation support activities
H5310,Actividades Postales.,class,,Postal activities
H5320,Actividades De Mensajería.,class,,Courier activities
I5510,Actividades De Alojamiento Para Estancias Cortas.,class,,Short term accommodation activities
I5520,"Actividades De Campamentos, Parques De Vehículos De Recreo Y Parques De Caravanas.",class,,"Camping grounds, recreational vehicle parks and trailer parks"
I5590,Otras Actividades De Alojamiento.,class,,Other accommodation
I5610,Actividades De Restaurantes Y De Servicio Móvil De Comidas.,class,,Restaurants and mobile food service activities
I5621,Suministro De Comidas Por Encargo.,class,,Event catering
I5629,Otras Actividades De Servicio De Comidas.,class,,Other food service activities
I5630,Actividades De Servicio De Bebidas.,class,,Beverage serving activities
J5811,"Publicación De Libros, Periódicos Y Otras Actividades De Publicación.",class,,Book publishing
J5812,Publicación De Directorios Y De Listas De Correo.,class,,Publishing of directories and mailing lists
J5813,"Publicación De Periódicos, Diarios Y Revistas.",class,,"Publishing of newspapers, journals and periodicals"
J5819,Otras Publicaciones.,class,,Other publishing activities
J5820,Publicación De Programas Informáticos.,class,,Software publishing
J5911,"Actividades De Producción De Películas Cinematográficas, Vídeos Y Programas De Televisión.",class,,"Motion picture, video and television programme production activities"
J5912,"Actividades De Postproducción De Películas Cinematográficas, Vídeos Y Programas De Televisión.",class,,"Motion picture, video and television programme post-production activities"
J5913,"Actividades De Distribución De Películas Cinematográficas, Vídeos Y Programas De Televisión.",class,,"Motion picture, video and television programme distribution activities"
J5914,Actividades De Exhibición De Películas Cinematográficas Y Cintas De Vídeo.,class,,Motion picture projection activities
J5920,Actividades De Grabación De Sonido Y Edición De Música.,class,,Sound recording and music publishing activities
J6010,Transmisiones De Radio.,class,,Radio broadcasting
J6020,Programación Y Transmisiones De Televisión.,class,,Television programming and broadcasting activities
J6110,Actividades De Telecomunicaciones Alámbrica.,class,,Wired telecommunications activities
J6120,Actividades De Telecomunicaciones Inalámbricas.,class,,Wireless telecommunications activities
J6130,Actividades De Telecomunicaciones Por Satélite.,class,,Satellite telecommunications activities
J6190,Otras Actividades De Telecomunicaciones.,class,,Other telecommunications activities
J6201,Actividades De Programación Informática.,class,,Computer programming activities
J6202,Actividades De Consultoría De Informática Y De Gestión De Instalaciones Informáticas.,class,,Computer consultancy and computer facilities management activities
J6203,"Actividades De Diseño Y Desarrollo De Soluciones Basadas En Tecnología Blockchain (Cadenas De Bloques)
",class,,Design and development of blockchain-based solutions
J6209,Otras Actividades De Tecnología De La Información Y De Servicios Informáticos.,class,,Other information technology and computer service activities
J6311,"Procesamiento De Datos, Hospedaje Y Actividades Conexas.",class,,"Data processing, hosting and related activities"
J6312,Portales Web.,class,,Web portals
J6391,Actividades De Agencias De Noticias.,class,,News agency activities
J6399,Otras Actividades De Servicios De Información N.C.P.,class,,Other information service activities n.e.c.
K6411,Banca Central.,class,,Central banking
K6419,Otros Tipos De Intermediación Monetaria.,class,,Other monetary intermediation
K6420,Actividades De Sociedades De Cartera.,class,,Activities of holding companies
K6430,Fondos Y Sociedades De Inversión Y Entidades Financieras Similares.,class,,"Trusts, funds and similar financial entities"
K6491,Arrendamiento Financiero.,class,,Financial leasing
K6492,Otras Actividades De Concesión De Crédito.,class,,Other credit granting
K6499,"Otras Actividades De Servicios Financieros, Excepto Las De Seguros Y Fondos De Pensiones, N.C.P.",class,,"Other financial service activities, except insurance and pension funding activities, n.e.c."
K6511,Seguros De Vida.,class,,Life insurance
K6512,Seguros Generales.,class,,Non-life insurance
K6520,Reaseguros.,class,,Reinsurance
K6530,Fondos De Pensión.,class,,Pension funding
K6611,Administración De Mercados Financieros.,class,,Administration of financial markets
K6612,Corretaje De Valores Y De Contratos De Productos Básicos.,class,,Security and commodity contracts brokerage
K6613,Administración De Activos Virtuales,class,,Virtual asset management
K6614,"Servicios De Asesoramiento, Gestión Y Operación De Mercados Virtuales",class,,"Advisory, management and operation services for virtual markets"
K6619,Otras Actividades Auxiliares A Las Actividades De Servicios Financieros.,class,,Other activities auxiliary to financial service activities
K6621,Evaluación De Riesgos Y Daños.,class,,Risk and damage evaluation
K6622,Actividades De Los Agentes Y Corredores De Seguro.,class,,Activities of insurance agents and brokers
K6629,Otras Actividades Auxiliares De Seguros Y Fondos De Pensiones.,class,,Other activities auxiliary to insurance and pension funding
K6630,Actividades De Gestión De Fondos.,class,,Fund management activities
L6810,Actividades Inmobiliarias Realizadas Con Bienes Propios O Arrendados.,class,,Real estate activities with own or leased property
L6820,Actividades Inmobiliarias Realizadas A Cambio De Una Retribución O Por Contrato.,class,,Real estate activities on a fee or contract basis
M6910,Actividades Jurídicas.,class,,Legal activities
M6920,"Actividades De Contabilidad, Teneduría De Libros Y Auditorias; Consultoría Fiscal.",class,,"Accounting, bookkeeping and auditing activities; tax consultancy"
M7010,Actividades De Oficinas Principales.,class,,Activities of head offices
M7020,Actividades De Consultoría De Gestión.,class,,Management consultancy activities
M7110,Actividades De Arquitectura E Ingeniería Y Actividades Conexas De Consultoría Técnica.,class,,Architectural and engineering activities and related technical consultancy
M7120,Ensayos Y Análisis Técnicos.,class,,Technical testing and analysis
M7210,Investigaciones Y Desarrollo Experimental En El Campo De Las Ciencias Naturales Y La Ingeniería.,class,,Research and experimental development on natural sciences and engineering
M7220,Investigaciones Y Desarrollo Experimental En El Campo De Las Ciencias Sociales Y Las Humanidades.,class,,Research and experimental development on social sciences and humanities
M7310,Publicidad.,class,,Advertising
M7320,Estudios De Mercado Y Encuestas De Opinión Pública.,class,,Market research and public opinion polling
M7410,Actividades Especializadas De Diseño.,class,,Specialized design activities
M7420,Actividades De Fotografía.,class,,Photographic activities
M7490,"Otras Actividades Profesionales, Científicas Y Técnicas N.C.P.",class,,"Other professional, scientific and technical activities n.e.c."
M7500,Actividades Veterinarias.,class,,Veterinary activities
N7710,Alquiler De Vehículos Automotores.,class,,Renting and leasing of motor vehicles
N7721,Alquiler De Equipo Recreativo Y Deportivo.,class,,Renting and leasing of recreational and sports goods
N7722,Alquiler De Cintas De Video Y Discos.,class,,Renting of video tapes and disks
N7729,Alquiler Otros Efectos Personales Y Artículos De Uso Domésticos.,class,,Renting and leasing of other personal and household goods
N7730,"Alquiler De Otros Tipos De Maquinaria, Equipo Y Bienes Tangibles.",class,,"Renting and leasing of other machinery, equipment and tangible goods"
N7740,"Arrendamiento De Propiedad Intelectual Y Productos Similares, Excepto Obras Protegidas Por Derechos De Autor.",class,,"Leasing of intellectual property and similar products, except copyrighted works"
N7810,Actividades De Agencias De Empleo.,class,,Activities of employment placement agencies
N7820,Actividades De Agencias De Empleo Temporal.,class,,Temporary employment agency activities
N7830,Otras Actividades De Dotación De Recursos Humanos.,class,,Other human resources provision
N7911,Actividades De Agencias De Viajes.,class,,Travel agency activities
N7912,Actividades De Operadores Turísticos.,class,,Tour operator activities
N7990,Otros Servicios De Reservas Y Actividades Conexas.,class,,Other reservation service and related activities
N8010,Actividades De Seguridad Privada.,class,,Private security activities
N8020,Actividades De Servicios De Sistemas De Seguridad.,class,,Security systems service activities
N8030,Actividades De Investigación.,class,,Investigation activities
N8110,Actividades Combinadas De Apoyo A Instalaciones.,class,,Combined facilities support activities
N8121,Limpieza General De Edificios.,class,,General cleaning of buildings
N8129,Otras Actividades De Limpieza De Edificios E Instalaciones Industriales.,class,,Other building and industrial cleaning activities
N8130,Actividades De Paisajismo Y Servicios De Mantenimiento Conexos.,class,,Landscape care and maintenance service activities
N8211,Actividades Combinadas De Servicios Administrativos De Oficina.,class,,Combined office administrative service activities
N8219,"Fotocopiado, Preparación De Documentos Y Otras Actividades Especializadas De Apoyo De Oficina.",class,,"Photocopying, document preparation and other specialized office support activities"
N8220,Actividades De Centros De Llamadas.,class,,Activities of call centres
N8230,Organización De Convenciones Y Exposiciones Comerciales.,class,,Organization of conventions and trade shows
N8291,Actividades De Agencias De Cobro Y Agencias De Calificación Crediticia.,class,,Activities of collection agencies and credit bureaus
N8292,Actividades De Envasado Y Empaquetado.,class,,Packaging activities
N8299,Otras Actividades De Servicios De Apoyo A Empresas N.C.P.,class,,Other business support service activities n.e.c.
O8411,Actividades De La Administración Pública En General.,class,,General public administration activities
O8412,"Regulación De Las Actividades De Organismos Que Prestan Servicios Sanitarios, Educativos, Culturales Y Otros Servicios Sociales, Excepto Servicios De Seguridad Social.",class,,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security"
O8413,Regulación Y Facilitación De La Actividad Económica.,class,,Regulation of and contribution to more efficient operation of businesses
O8421,Relaciones Exteriores.,class,,Foreign affairs
O8422,Actividades De Defensa.,class,,Defence activities
O8423,Actividades De Mantenimiento Del Orden Público Y De Seguridad.,class,,Public order and safety activities
O8430,Actividades De Planes De Seguridad Social De Afiliación Obligatoria.,class,,Compulsory social security activities
P8510,Enseñanza Preprimaria Y Primaria.,class,,Pre-primary and primary education
P8521,Enseñanza Secundaria De Formación General.,class,,General secondary education
P8522,Enseñanza De Formación Técnica Y Profesional.,class,,Technical and vocational secondary education
P8530,Enseñanza Superior.,class,,Higher education
P8541,Enseñanza Deportiva Y Recreativa.,class,,Sports and recreation education
P8542,Enseñanza Cultural.,class,,Cultural education
P8549,Otros Tipos De Enseñanza N.C.P.,class,,Other education n.e.c.
P8550,Actividades De Apoyo A La Enseñanza.,class,,Educational support activities
Q8610,Actividades De Hospitales Y Clínicas.,class,,Hospital activities
Q8620,Actividades De Médicos Y Odontólogos.,class,,Medical and dental practice activities
Q8690,Otras Actividades De Atención De La Salud Humana.,class,,Other human health activities
Q8710,Actividades De Atención De Enfermería En Instituciones.,class,,Residential nursing care facilities
Q8720,"Actividades De Atención En Instituciones Para Personas Con Retraso Mental, Enfermos Mentales Y Toxicómanos.",class,,"Residential care activities for mental retardation, mental health and substance abuse"
Q8730,Actividades De Atención En Instituciones Para Personas De Edad Y Personas Con Discapacidad.,class,,Residential care activities for the elderly and disabled
Q8790,Otras Actividades De Atención En Instituciones.,class,,Other residential care activities
Q8810,Actividades De Asistencia Social Sin Alojamiento Para Personas De Edad Y Personas Con Discapacidad.,class,,Social work activities without accommodation for the elderly and disabled
Q8890,Otras Actividades De Asistencia Social Sin Alojamiento.,class,,Other social work activities without accommodation
R9000,"Actividades Creativas, Artísticas Y De Entretenimiento.",class,,"Creative, arts and entertainment activities"
R9101,Actividades De Bibliotecas Y Archivos.,class,,Library and archives activities
R9102,Actividades De Museos Y Gestión De Lugares Y Edificios Históricos.,class,,Museums activities and operation of historical sites and buildings
R9103,Actividades De Jardines Botánicos Y Zoológicos Y Reservas Naturales.,class,,Botanical and zoological gardens and nature reserves activities
R9200,Actividades De Juegos De Azar Y Apuestas.,class,,Gambling and betting activities
R9311,Explotación De Instalaciones Deportivas.,class,,Operation of sports facilities
R9312,Actividades De Clubes Deportivos.,class,,Activities of sports clubs
R9319,Otras Actividades Deportivas.,class,,Other sports activities
R9321,Actividades De Parques De Atracciones Y Parques Temáticos.,class,,Activities of amusement parks and theme parks
R9329,Otras Actividades De Esparcimiento Y Recreativas N.C.P.,class,,Other amusement and recreation activities n.e.c.
S9411,Actividades De Asociaciones Empresariales Y De Empleadores.,class,,Activities of business and employers membership organizations
S9412,Actividades De Asociaciones Profesionales.,class,,Activities of professional membership organizations
S9420,Actividades De Sindicatos.,class,,Activities of trade unions
S9491,Actividades De Organizaciones Religiosas.,class,,Activities of religious organizations
S9492,Actividades De Organizaciones Políticas.,class,,Activities of political organizations
S9499,Actividades De Otras Asociaciones N.C.P.,class,,Activities of other membership organizations n.e.c.
S9511,Reparación De Computadoras Y Equipo Periférico.,class,,Repair of computers and peripheral equipment
S9512,Reparación De Equipo De Comunicaciones.,class,,Repair of communication equipment
S9521,Reparación De Aparatos Electrónicos De Consumo.,class,,Repair of consumer electronics
S9522,Reparación De Aparatos De Uso Doméstico Y Equipo Doméstico Y De Jardinería.,class,,Repair of household appliances and home and garden equipment
S9523,Reparación De Calzado Y Artículos De Cuero.,class,,Repair of footwear and leather goods
S9524,Reparación De Muebles Y Accesorios Domésticos.,class,,Repair of furniture and home furnishings
S9529,Reparación De Otros Bienes Personales Y Enseres Domésticos.,class,,Repair of other personal and household goods
S9601,"Lavado Y Limpieza, Incluida La Limpieza En Seco, De Productos Textiles Y De Piel.",class,,Washing and (dry-) cleaning of textile and fur products
S9602,Actividades De Peluquería Y Otros Tratamientos De Belleza.,class,,Hairdressing and other beauty treatment
S9603,Pompas Fúnebres Y Actividades Conexas.,class,,Funeral and related activities
S9609,Otras Actividades De Servicios Personales N.C.P.,class,,Other personal service activities n.e.c.
T9700,Actividades De Los Hogares Como Empleadores De Personal Doméstico.,class,,Activities of households as employers of domestic personnel
T9810,Actividades No Diferenciadas De Los Hogares Como Productores De Bienes Y Servicios Para Uso Propio.,class,,Undifferentiated goods-producing activities of private households for own use
T9820,Actividades No Diferenciadas De Los Hogares Como Productores De Servicios Para Uso Propio.,class,,Undifferentiated service-producing activities of private households for own use
U9900,Actividades De Organizaciones Y Órganos Extraterritoriales.,class,,Activities of extraterritorial organizations and bodies
